user_id,full_name,username,job_title,department,division,country,airport,terminal,employee_category,shift_pattern,age,preferred_language
u00025,Noor Rossi,nrossi25,Cashier,Customer Service,US Retail,US,MIA,T3,office-based,office,31,en
u00026,Robin Bianchi,rbianchi26,Cashier,Customer Service,Europe Retail,GB,LGW,T2,shift-based,day,44,en
u00027,Elena Rossi,erossi27,Shift Supervisor,Customer Service,Europe Retail,CH,ZRH,T1,shift-based,long,39,it
u00028,Aiko Lopez,alopez28,Customer Service Agent,Customer Service,Europe Retail,DE,MUC,T2,shift-based,day,50,de
u00029,Jamie Novak,jnovak29,Cashier,Logistics,Europe Retail,DE,MUC,T2,office-based,office,19,de
u00030,Jamie Fischer,jfischer30,Beauty Advisor,Store Operations,Europe Retail,ES,BCN,T1,shift-based,day,30,es
u00031,Sam Silva,ssilva31,Senior Customer Service Specialist,Store Operations,Europe Retail,CH,BSL,T3,shift-based,day,38,it
u00032,Jordan Brown,jbrown32,Regional Manager,Customer Service,Europe Retail,IT,MXP,T2,shift-based,night,49,it
u00033,Luca Weber,lweber33,Store Manager,Communications,US Retail,US,JFK,T2,office-based,office,34,es
u00034,Chloe Novak,cnovak34,Sales Associate,Logistics,Europe Retail,CH,GVA,T1,shift-based,split,34,de
u00035,Priya Novak,pnovak35,Cashier,Customer Service,Europe Retail,CH,GVA,T2,shift-based,short,35,it
u00036,Taylor Garcia,tgarcia36,Senior Customer Service Specialist,Customer Service,Europe Retail,GB,LGW,T2,shift-based,night,46,en
u00037,Noor Schneider,nschneider37,Senior Sales Associate,Customer Service,Europe Retail,CH,GVA,T2,shift-based,day,30,it
u00038,Jordan Moreau,jmoreau38,Customer Service Agent,Logistics,Europe Retail,CH,BSL,T1,shift-based,day,40,it
u00039,Ivan Lopez,ilopez39,Stock Assistant,Store Operations,Europe Retail,DE,FRA,T1,office-based,office,32,de
u00040,Priya Lopez,plopez40,Team Lead,Store Operations,Europe Retail,ES,BCN,T1,shift-based,split,26,es
u00041,Lena Moreau,lmoreau41,Regional Manager,Logistics,Europe Retail,DE,MUC,T1,shift-based,night,32,de
u00042,Sofia Chen,schen42,Senior Customer Service Specialist,Store Operations,Europe Retail,CH,ZRH,T2,shift-based,day,50,it
u00043,Noor Lopez,nlopez43,Senior Sales Associate,Store Operations,Europe Retail,CH,BSL,T2,shift-based,day,35,fr
u00044,Morgan Moreau,mmoreau44,Store Assistant,Logistics,Europe Retail,DE,MUC,T3,shift-based,day,33,de
u00045,Chloe Garcia,cgarcia45,Team Lead,Store Operations,Europe Retail,ES,BCN,T3,shift-based,day,18,es
u00046,Jamie Costa,jcosta46,Store Manager,Human Resources,Europe Retail,DE,FRA,T2,office-based,office,18,de
u00047,Aiko Moreau,amoreau47,Stock Assistant,Store Operations,Europe Retail,FR,CDG,T3,shift-based,split,28,fr
u00048,Luca Fischer,lfischer48,Logistics Associate,Human Resources,Europe Retail,GB,LHR,T2,office-based,office,27,en
u00049,Noor Rossi,nrossi49,Beauty Advisor,Store Operations,US Retail,US,LAX,T2,shift-based,long,34,en
u00050,Priya Silva,psilva50,Logistics Coordinator,Store Operations,Europe Retail,DE,MUC,T2,shift-based,short,19,de
u00051,Morgan Moreau,mmoreau51,Cashier,Store Operations,Europe Retail,CH,BSL,T1,shift-based,day,18,it
u00052,Aiko Kaur,akaur52,Beauty Advisor,Store Operations,Europe Retail,GB,LGW,T2,office-based,office,35,en
u00053,Taylor Dubois,tdubois53,Logistics Associate,Customer Service,Europe Retail,DE,MUC,T1,shift-based,day,35,de
u00054,Luca Moreau,lmoreau54,Assistant Manager,Management,Europe Retail,CH,ZRH,T3,office-based,office,31,it
u00055,Ivan Muller,imuller55,Sales Associate,Customer Service,Europe Retail,FR,CDG,T1,shift-based,day,42,fr
u00056,Sam Smith,ssmith56,Customer Service Agent,Store Operations,Europe Retail,CH,BSL,T3,office-based,office,46,fr
u00057,Chloe Costa,ccosta57,Stock Assistant,Store Operations,Europe Retail,ES,MAD,T3,shift-based,short,30,es
u00058,Robin Garcia,rgarcia58,Team Lead,Store Operations,Europe Retail,CH,BSL,T3,shift-based,day,23,fr
u00059,Alex Martin,amartin59,Senior Sales Associate,Logistics,Europe Retail,CH,BSL,T1,shift-based,short,41,it
u00060,Jordan Meier,jmeier60,Store Assistant,Customer Service,Europe Retail,GB,LHR,T1,office-based,office,35,en
u00061,Luca Smith,lsmith61,Senior Sales Associate,Logistics,Europe Retail,ES,BCN,T1,shift-based,day,61,es
u00062,Aiko Kaur,akaur62,Store Assistant,Store Operations,US Retail,US,MIA,T1,shift-based,day,47,es
u00063,Priya Fischer,pfischer63,Customer Service Agent,Human Resources,US Retail,US,MIA,T3,office-based,office,36,en
u00064,Aiko Rossi,arossi64,Store Manager,Management,Europe Retail,CH,GVA,T2,office-based,office,36,fr
u00065,Sofia Garcia,sgarcia65,Regional Manager,Management,US Retail,US,JFK,T2,office-based,office,49,es
u00066,Noor Schneider,nschneider66,Customer Service Agent,Customer Service,Europe Retail,ES,BCN,T1,shift-based,day,46,es
u00067,Noor Weber,nweber67,Regional Manager,Customer Service,US Retail,US,JFK,T3,shift-based,day,30,en
u00068,Yusuf Smith,ysmith68,Logistics Associate,Customer Service,Europe Retail,DE,MUC,T3,shift-based,split,42,de
u00069,Sofia Novak,snovak69,Stock Assistant,Store Operations,US Retail,US,LAX,T2,shift-based,short,25,es
u00070,Elena Fischer,efischer70,Sales Associate,Customer Service,Europe Retail,GB,LHR,T2,shift-based,day,18,en
u00071,Lena Moreau,lmoreau71,Assistant Manager,Management,Europe Retail,IT,MXP,T3,office-based,office,25,it
u00072,Sam Moreau,smoreau72,Cashier,Communications,Europe Retail,CH,GVA,T2,office-based,office,47,de
u00073,Aiko Martin,amartin73,Senior Customer Service Specialist,Store Operations,Europe Retail,CH,BSL,T1,shift-based,split,34,it
u00074,Chloe Schneider,cschneider74,Cashier,Customer Service,Europe Retail,CH,GVA,T1,shift-based,day,31,it
u00075,Luca Silva,lsilva75,Stock Assistant,Store Operations,US Retail,US,MIA,T2,shift-based,long,36,es
u00076,Aiko Novak,anovak76,Beauty Advisor,Store Operations,Europe Retail,CH,GVA,T3,office-based,office,33,it
u00077,Mateo Martin,mmartin77,Cashier,Store Operations,Europe Retail,CH,BSL,T3,shift-based,day,43,fr
u00078,Luca Silva,lsilva78,Customer Service Agent,Customer Service,Europe Retail,CH,BSL,T2,shift-based,long,25,it
u00079,Priya Kaur,pkaur79,Customer Service Agent,Logistics,Europe Retail,GB,LGW,T2,shift-based,short,32,en
u00080,Elena Garcia,egarcia80,Store Assistant,Customer Service,Europe Retail,CH,GVA,T3,shift-based,night,31,de
u00081,Ivan Rossi,irossi81,Customer Service Agent,Customer Service,Europe Retail,DE,MUC,T2,shift-based,day,28,de
u00082,Yusuf Novak,ynovak82,Customer Service Agent,Store Operations,Europe Retail,FR,NCE,T2,shift-based,day,45,fr
u00083,Alex Kaur,akaur83,Stock Assistant,Store Operations,US Retail,US,JFK,T2,shift-based,split,33,es
u00084,Lena Fischer,lfischer84,Senior Sales Associate,Logistics,Europe Retail,CH,ZRH,T2,office-based,office,28,it
u00085,Elena Dubois,edubois85,Beauty Advisor,Customer Service,Europe Retail,CH,ZRH,T3,shift-based,long,61,fr
u00086,Lena Bianchi,lbianchi86,Team Lead,Logistics,Europe Retail,FR,NCE,T1,shift-based,long,33,fr
u00087,Noor Moreau,nmoreau87,Logistics Associate,Store Operations,Europe Retail,ES,MAD,T3,shift-based,night,34,es
u00088,Elena Rossi,erossi88,Senior Sales Associate,Store Operations,Europe Retail,CH,GVA,T3,shift-based,long,24,de
u00089,Sam Garcia,sgarcia89,Customer Service Agent,Communications,Europe Retail,FR,CDG,T2,office-based,office,28,fr
u00090,Noor Kaur,nkaur90,Regional Manager,Management,Europe Retail,IT,FCO,T2,office-based,office,35,it
u00091,Luca Rossi,lrossi91,Sales Associate,Store Operations,Europe Retail,ES,MAD,T1,shift-based,day,47,es
u00092,Robin Lopez,rlopez92,Logistics Associate,Customer Service,Europe Retail,GB,LHR,T1,office-based,office,24,en
u00093,Lena Chen,lchen93,Team Lead,Store Operations,US Retail,US,LAX,T3,shift-based,day,34,en
u00094,Taylor Moreau,tmoreau94,Cashier,Human Resources,Europe Retail,IT,FCO,T3,office-based,office,25,it
u00095,Ivan Dubois,idubois95,Stock Assistant,Customer Service,Europe Retail,CH,GVA,T1,shift-based,day,33,de
u00096,Luca Meier,lmeier96,Sales Associate,Store Operations,Europe Retail,CH,BSL,T3,shift-based,split,35,fr
u00097,Elena Rossi,erossi00,Store Manager,Management,Europe Retail,DE,FRA,T3,office-based,office,38,de
u00098,Omar Silva,osilva01,Store Assistant,Customer Service,US Retail,US,MIA,T2,shift-based,day,34,en
u00099,Ivan Lopez,ilopez02,Logistics Associate,Customer Service,US Retail,US,MIA,T1,shift-based,split,26,en
u00100,Alex Lopez,alopez03,Senior Sales Associate,Human Resources,Europe Retail,CH,BSL,T1,office-based,office,40,fr
u00101,Luca Garcia,lgarcia04,Senior Customer Service Specialist,Store Operations,Europe Retail,ES,BCN,T1,office-based,office,26,es
u00102,Chloe Weber,cweber05,Beauty Advisor,Store Operations,Europe Retail,IT,MXP,T1,shift-based,day,32,it
u00103,Aiko Meier,ameier06,Beauty Advisor,Store Operations,Europe Retail,CH,GVA,T3,shift-based,short,43,de
u00104,Taylor Moreau,tmoreau07,Sales Associate,Store Operations,US Retail,US,LAX,T2,shift-based,night,43,es
u00105,Noor Costa,ncosta08,Customer Service Agent,Customer Service,Europe Retail,DE,FRA,T1,shift-based,night,38,de
u00106,Lena Moreau,lmoreau09,Cashier,Store Operations,Europe Retail,DE,FRA,T3,shift-based,day,40,de
u00107,Chloe Brown,cbrown10,Logistics Associate,Store Operations,Europe Retail,FR,NCE,T1,shift-based,split,34,fr
u00108,Robin Schneider,rschneider11,Logistics Associate,Store Operations,US Retail,US,LAX,T1,shift-based,night,49,es
u00109,Robin Schneider,rschneider12,Logistics Associate,Customer Service,Europe Retail,GB,LGW,T2,shift-based,day,52,en
u00110,Luca Smith,lsmith13,Sales Associate,Store Operations,Europe Retail,DE,FRA,T1,shift-based,day,54,de
u00111,Sam Lopez,slopez14,Senior Customer Service Specialist,Communications,US Retail,US,LAX,T1,office-based,office,30,en
u00112,Morgan Schneider,mschneider15,Stock Assistant,Store Operations,Europe Retail,DE,MUC,T2,shift-based,short,44,de
u00113,Mateo Rossi,mrossi16,Stock Assistant,Customer Service,Europe Retail,DE,FRA,T3,office-based,office,38,de
u00114,Morgan Moreau,mmoreau17,Cashier,Customer Service,Europe Retail,CH,GVA,T1,shift-based,day,33,de
u00115,Jamie Bianchi,jbianchi18,Shift Supervisor,Store Operations,Europe Retail,DE,FRA,T3,shift-based,day,22,de
u00116,Noor Silva,nsilva19,Senior Sales Associate,Store Operations,Europe Retail,GB,LGW,T3,shift-based,long,28,en
u00117,Casey Meier,cmeier20,Assistant Manager,Management,Europe Retail,GB,LGW,T3,office-based,office,18,en
u00118,Sofia Fischer,sfischer21,Logistics Associate,Store Operations,Europe Retail,IT,FCO,T3,shift-based,day,54,it
u00119,Casey Chen,cchen22,Sales Associate,Logistics,Europe Retail,DE,FRA,T1,shift-based,short,41,de
u00120,Luca Dubois,ldubois23,Assistant Manager,Store Operations,Europe Retail,ES,BCN,T1,shift-based,long,18,es
u00121,Luca Schneider,lschneider24,Store Assistant,Store Operations,Europe Retail,IT,MXP,T3,shift-based,short,49,it
u00122,Morgan Lopez,mlopez25,Cashier,Customer Service,Europe Retail,ES,MAD,T3,shift-based,night,55,es
u00123,Elena Rossi,erossi26,Stock Assistant,Customer Service,Europe Retail,ES,MAD,T2,shift-based,night,18,es
u00124,Elena Dubois,edubois27,Beauty Advisor,Logistics,Europe Retail,CH,GVA,T2,shift-based,day,49,fr
u00125,Morgan Silva,msilva28,Stock Assistant,Store Operations,Europe Retail,DE,FRA,T1,shift-based,split,27,de
u00126,Elena Novak,enovak29,Logistics Coordinator,Store Operations,Europe Retail,IT,MXP,T2,shift-based,day,28,it
u00127,Jordan Costa,jcosta30,Regional Manager,Management,Europe Retail,FR,NCE,T3,office-based,office,39,fr
u00128,Robin Chen,rchen31,Shift Supervisor,Store Operations,US Retail,US,LAX,T1,shift-based,short,25,es
u00129,Jordan Keller,jkeller32,Senior Sales Associate,Store Operations,Europe Retail,GB,LGW,T3,shift-based,short,32,en
u00130,Taylor Weber,tweber33,Team Lead,Store Operations,Europe Retail,FR,NCE,T3,shift-based,split,37,fr
u00131,Alex Lopez,alopez34,Logistics Associate,Store Operations,Europe Retail,DE,MUC,T1,shift-based,day,36,de
u00132,Aiko Novak,anovak35,Senior Sales Associate,Customer Service,Europe Retail,FR,CDG,T3,shift-based,day,35,fr
u00133,Jordan Costa,jcosta36,General Manager,Customer Service,US Retail,US,LAX,T2,shift-based,long,26,es
u00134,Lena Garcia,lgarcia37,Senior Sales Associate,Communications,Europe Retail,IT,MXP,T1,office-based,office,34,it
u00135,Sam Weber,sweber38,Store Assistant,Customer Service,US Retail,US,LAX,T2,shift-based,long,31,en
u00136,Taylor Garcia,tgarcia39,Sales Associate,Customer Service,Europe Retail,IT,MXP,T2,shift-based,night,43,it
u00137,Elena Novak,enovak40,Senior Customer Service Specialist,Store Operations,Europe Retail,CH,GVA,T2,shift-based,day,28,fr
u00138,Sofia Weber,sweber41,Sales Associate,Logistics,Europe Retail,CH,BSL,T1,shift-based,day,58,fr
u00139,Casey Meier,cmeier42,Logistics Associate,Store Operations,Europe Retail,DE,MUC,T3,shift-based,short,64,de
u00140,Robin Moreau,rmoreau43,Store Assistant,Communications,Europe Retail,FR,CDG,T2,office-based,office,37,fr
u00141,Mateo Keller,mkeller44,Team Lead,Store Operations,Europe Retail,GB,LGW,T3,shift-based,night,45,en
u00142,Jamie Kaur,jkaur45,Cashier,Customer Service,Europe Retail,ES,BCN,T2,office-based,office,53,es
u00143,Robin Smith,rsmith46,Senior Sales Associate,Store Operations,Europe Retail,DE,FRA,T3,office-based,office,26,de
u00144,Lena Meier,lmeier47,Sales Associate,Customer Service,Europe Retail,IT,FCO,T2,shift-based,night,36,it
u00145,Robin Novak,rnovak48,Cashier,Store Operations,Europe Retail,CH,BSL,T2,shift-based,day,18,it
u00146,Jamie Lopez,jlopez49,Stock Assistant,Logistics,Europe Retail,CH,GVA,T3,shift-based,short,43,de
u00147,Mateo Martin,mmartin50,Beauty Advisor,Store Operations,Europe Retail,ES,MAD,T2,shift-based,day,32,es
u00148,Jordan Dubois,jdubois51,Senior Sales Associate,Logistics,Europe Retail,IT,FCO,T3,shift-based,long,33,it
u00149,Chloe Weber,cweber52,Cashier,Store Operations,Europe Retail,FR,NCE,T3,shift-based,short,47,fr
u00150,Sam Lopez,slopez53,Stock Assistant,Logistics,Europe Retail,ES,MAD,T2,shift-based,night,37,es
u00151,Yusuf Kaur,ykaur54,Stock Assistant,Store Operations,Europe Retail,FR,NCE,T1,shift-based,long,25,fr
u00152,Robin Kaur,rkaur55,Beauty Advisor,Store Operations,Europe Retail,CH,ZRH,T3,shift-based,day,24,it
u00153,Taylor Kaur,tkaur56,Beauty Advisor,Store Operations,Europe Retail,CH,BSL,T3,shift-based,long,38,it
u00154,Jamie Rossi,jrossi57,Senior Sales Associate,Customer Service,Europe Retail,CH,ZRH,T3,shift-based,long,33,de
u00155,Noor Schneider,nschneider58,Team Lead,Store Operations,US Retail,US,MIA,T3,shift-based,day,25,en
u00156,Aiko Rossi,arossi59,Sales Associate,Communications,Europe Retail,CH,BSL,T2,office-based,office,48,de
u00157,Priya Silva,psilva60,Cashier,Store Operations,Europe Retail,IT,FCO,T1,shift-based,night,31,it
u00158,Jordan Martin,jmartin61,Stock Assistant,Store Operations,Europe Retail,CH,GVA,T1,shift-based,long,31,it
u00159,Luca Meier,lmeier62,Senior Sales Associate,Store Operations,Europe Retail,CH,BSL,T2,shift-based,split,25,fr
u00160,Aiko Smith,asmith63,Regional Manager,Management,Europe Retail,CH,BSL,T2,office-based,office,47,de
u00161,Ivan Meier,imeier64,Senior Sales Associate,Store Operations,US Retail,US,MIA,T1,office-based,office,37,es
u00162,Chloe Smith,csmith65,Store Assistant,Human Resources,US Retail,US,JFK,T1,office-based,office,39,en
u00163,Chloe Chen,cchen66,Sales Associate,Store Operations,US Retail,US,LAX,T1,shift-based,day,28,en
u00164,Ivan Novak,inovak67,Beauty Advisor,Communications,Europe Retail,DE,FRA,T3,office-based,office,29,de
u00165,Ivan Smith,ismith68,Beauty Advisor,Store Operations,Europe Retail,IT,MXP,T1,shift-based,day,18,it
u00166,Yusuf Muller,ymuller69,Beauty Advisor,Store Operations,Europe Retail,FR,CDG,T2,shift-based,day,20,fr
u00167,Alex Moreau,amoreau70,Cashier,Store Operations,Europe Retail,CH,ZRH,T3,shift-based,long,22,it
u00168,Yusuf Rossi,yrossi71,Cashier,Customer Service,Europe Retail,CH,ZRH,T3,shift-based,day,27,de
u00169,Yusuf Lopez,ylopez72,Stock Assistant,Communications,US Retail,US,LAX,T1,office-based,office,45,en
u00170,Ivan Muller,imuller73,Logistics Associate,Store Operations,US Retail,US,JFK,T1,shift-based,long,28,es
u00171,Chloe Silva,csilva74,Store Manager,Management,Europe Retail,GB,LHR,T3,office-based,office,18,en
u00172,Priya Costa,pcosta75,Customer Service Agent,Store Operations,Europe Retail,CH,GVA,T1,shift-based,day,26,de
u00173,Aiko Silva,asilva76,Logistics Associate,Logistics,US Retail,US,JFK,T3,shift-based,long,32,en
u00174,Sam Weber,sweber77,Stock Assistant,Store Operations,US Retail,US,JFK,T2,shift-based,day,44,es
u00175,Casey Costa,ccosta78,Store Manager,Management,US Retail,US,LAX,T2,office-based,office,36,es
u00176,Ivan Brown,ibrown79,Logistics Associate,Customer Service,Europe Retail,DE,MUC,T3,shift-based,day,42,de
u00177,Jamie Chen,jchen80,Senior Sales Associate,Logistics,Europe Retail,CH,ZRH,T2,shift-based,day,47,de
u00178,Mateo Garcia,mgarcia81,Logistics Associate,Logistics,Europe Retail,CH,BSL,T2,shift-based,day,45,fr
u00179,Robin Schneider,rschneider82,Store Assistant,Customer Service,Europe Retail,DE,FRA,T1,shift-based,short,34,de
u00180,Omar Weber,oweber83,Store Assistant,Customer Service,Europe Retail,GB,LHR,T3,office-based,office,28,en
u00181,Mateo Keller,mkeller84,Stock Assistant,Customer Service,Europe Retail,IT,MXP,T1,shift-based,split,28,it
u00182,Priya Chen,pchen85,Beauty Advisor,Logistics,Europe Retail,CH,GVA,T3,shift-based,day,41,fr
u00183,Ivan Brown,ibrown86,Senior Sales Associate,Communications,Europe Retail,FR,CDG,T1,office-based,office,30,fr
u00184,Lena Schneider,lschneider87,Senior Sales Associate,Customer Service,Europe Retail,FR,NCE,T2,shift-based,short,32,fr
u00185,Chloe Lopez,clopez88,Stock Assistant,Store Operations,US Retail,US,MIA,T1,shift-based,day,58,en
u00186,Jordan Brown,jbrown89,Stock Assistant,Logistics,Europe Retail,CH,GVA,T3,shift-based,day,51,it
u00187,Mateo Garcia,mgarcia90,Communications Manager,Store Operations,Europe Retail,DE,MUC,T2,shift-based,day,46,de
u00188,Chloe Garcia,cgarcia91,Sales Associate,Customer Service,Europe Retail,FR,NCE,T3,shift-based,short,31,fr
u00189,Noor Lopez,nlopez92,Stock Assistant,Customer Service,Europe Retail,CH,GVA,T1,shift-based,night,25,it
u00190,Sofia Fischer,sfischer93,Sales Associate,Store Operations,Europe Retail,CH,BSL,T2,shift-based,day,42,de
u00191,Mateo Smith,msmith94,Logistics Associate,Store Operations,Europe Retail,DE,MUC,T2,shift-based,day,27,de
u00192,Yusuf Garcia,ygarcia95,Stock Assistant,Customer Service,Europe Retail,ES,MAD,T2,shift-based,day,28,es
u00193,Alex Costa,acosta96,Assistant Manager,Logistics,Europe Retail,IT,FCO,T2,shift-based,day,43,it
u00194,Taylor Lopez,tlopez00,Sales Associate,Customer Service,Europe Retail,GB,LHR,T3,shift-based,day,21,en
u00195,Lena Keller,lkeller01,Shift Supervisor,Logistics,Europe Retail,CH,GVA,T1,office-based,office,37,it
u00196,Chloe Brown,cbrown02,Cashier,Store Operations,Europe Retail,CH,ZRH,T3,office-based,office,30,fr
u00197,Robin Lopez,rlopez03,Senior Sales Associate,Store Operations,Europe Retail,CH,ZRH,T3,shift-based,day,38,de
u00198,Alex Kaur,akaur04,Sales Associate,Customer Service,Europe Retail,ES,BCN,T1,shift-based,day,39,es
u00199,Elena Muller,emuller05,Cashier,Store Operations,Europe Retail,CH,GVA,T2,shift-based,short,23,de
u00200,Jordan Meier,jmeier06,Beauty Advisor,Store Operations,Europe Retail,CH,BSL,T3,shift-based,short,37,fr
u00201,Ivan Novak,inovak07,Cashier,Customer Service,Europe Retail,CH,BSL,T1,office-based,office,54,it
u00202,Robin Meier,rmeier08,Stock Assistant,Logistics,Europe Retail,ES,MAD,T2,shift-based,long,33,es
u00203,Jordan Martin,jmartin09,Regional Manager,Logistics,Europe Retail,GB,LHR,T2,shift-based,short,27,en
u00204,Sofia Silva,ssilva10,Cashier,Customer Service,Europe Retail,DE,FRA,T2,shift-based,day,56,de
u00205,Casey Novak,cnovak11,Logistics Associate,Customer Service,Europe Retail,GB,LHR,T2,shift-based,short,25,en
u00206,Sam Weber,sweber12,Shift Supervisor,Store Operations,Europe Retail,IT,MXP,T2,shift-based,long,44,it
u00207,Omar Silva,osilva13,Beauty Advisor,Store Operations,Europe Retail,CH,ZRH,T1,shift-based,short,35,de
u00208,Chloe Fischer,cfischer14,Stock Assistant,Store Operations,Europe Retail,DE,FRA,T3,shift-based,night,25,de
u00209,Omar Brown,obrown15,Store Manager,Logistics,Europe Retail,ES,BCN,T2,shift-based,split,44,es
u00210,Jordan Martin,jmartin16,Senior Customer Service Specialist,Logistics,Europe Retail,FR,CDG,T1,shift-based,long,44,fr
u00211,Morgan Fischer,mfischer17,Senior Sales Associate,Store Operations,Europe Retail,GB,LHR,T1,shift-based,long,63,en
u00212,Alex Costa,acosta18,Senior Sales Associate,Customer Service,Europe Retail,CH,BSL,T1,shift-based,day,53,fr
u00213,Alex Bianchi,abianchi19,Store Assistant,Communications,Europe Retail,CH,BSL,T3,office-based,office,30,de
u00214,Alex Garcia,agarcia20,Customer Service Agent,Communications,Europe Retail,DE,MUC,T3,office-based,office,41,de
u00215,Robin Garcia,rgarcia21,Beauty Advisor,Store Operations,Europe Retail,CH,ZRH,T1,shift-based,day,32,it
u00216,Robin Chen,rchen22,Team Lead,Customer Service,Europe Retail,FR,NCE,T3,shift-based,split,33,fr
u00217,Aiko Silva,asilva23,Cashier,Store Operations,Europe Retail,FR,CDG,T1,shift-based,long,33,fr
u00218,Elena Costa,ecosta24,Store Assistant,Customer Service,US Retail,US,LAX,T3,shift-based,night,43,en
u00219,Alex Martin,amartin25,Senior Sales Associate,Store Operations,Europe Retail,CH,GVA,T1,shift-based,long,45,fr
u00220,Luca Fischer,lfischer26,Customer Service Agent,Customer Service,Europe Retail,IT,MXP,T3,shift-based,long,38,it
u00221,Noor Martin,nmartin27,Beauty Advisor,Customer Service,US Retail,US,JFK,T2,shift-based,split,39,es
u00222,Casey Rossi,crossi28,Cashier,Store Operations,Europe Retail,GB,LHR,T2,shift-based,long,61,en
u00223,Alex Meier,ameier29,Cashier,Customer Service,Europe Retail,ES,BCN,T2,shift-based,short,46,es
u00224,Jordan Weber,jweber30,Beauty Advisor,Logistics,Europe Retail,CH,BSL,T1,shift-based,day,56,de
u00225,Luca Lopez,llopez31,Team Lead,Store Operations,Europe Retail,GB,LGW,T2,office-based,office,31,en
u00226,Lena Rossi,lrossi32,Cashier,Customer Service,US Retail,US,JFK,T1,shift-based,split,24,es
u00227,Sofia Fischer,sfischer33,Customer Service Agent,Store Operations,Europe Retail,ES,MAD,T3,office-based,office,25,es
u00228,Mateo Weber,mweber34,Sales Associate,Store Operations,Europe Retail,CH,GVA,T2,shift-based,split,24,de
u00229,Sofia Costa,scosta35,Logistics Associate,Store Operations,Europe Retail,CH,BSL,T2,shift-based,day,32,fr
u00230,Elena Costa,ecosta36,Shift Supervisor,Customer Service,Europe Retail,GB,LGW,T3,shift-based,split,31,en
u00231,Sofia Bianchi,sbianchi37,Senior Customer Service Specialist,Customer Service,Europe Retail,DE,FRA,T2,office-based,office,50,de
u00232,Priya Schneider,pschneider38,Beauty Advisor,Logistics,Europe Retail,ES,BCN,T3,shift-based,long,31,es
u00233,Robin Bianchi,rbianchi39,Beauty Advisor,Store Operations,Europe Retail,CH,ZRH,T2,shift-based,long,37,de
u00234,Priya Moreau,pmoreau40,Logistics Associate,Store Operations,Europe Retail,CH,ZRH,T3,shift-based,day,29,it
